service	primaryClass	authTypes	actionCount	asyncActionCount	followUpActionCount	distinctRequiredScopes	top3Verbs
7_shifts	Business systems	api_key	7	0	0	0	list:5,get:1,retrieve:1
a_leads	Business systems	api_key	4	0	0	0	find:3,verify:1
ably	LLM/dev accounts	api_key	11	0	0	0	get:5,batch:2,create:1
ably_control	LLM/dev accounts	api_key	14	0	0	0	create:3,get:3,list:3
abstract	Cloud/FinOps	api_key	1	0	0	0	validate:1
abuseipdb	Cloud/FinOps	api_key	4	0	0	0	check:2,blacklist:1,get:1
abyssale	Business systems	api_key	9	0	0	0	get:3,list:3,create:2
accredible_certificates	Business systems	api_key	8	0	0	0	get:2,list:2,search:2
acculynx	Business systems	api_key	12	0	0	0	list:7,create:2,get:2
accuweather	Domain connectors	api_key	5	0	0	0	get:4,search:1
active_trail	LLM/dev accounts	api_key	14	0	0	0	get:3,list:3,create:2
activecampaign	LLM/dev accounts	api_key	6	0	0	0	list:3,get:2,upsert:1
adafruit_io	Cloud/FinOps	api_key	5	0	0	0	get:2,list:2,create:1
addressfinder	Domain connectors	api_key	6	0	2	0	find:2,get:2,verify:2
addresszen	Domain connectors	api_key	3	0	0	0	find:1,get:1,retrieve:1
adobe_commerce	Business systems	api_key	4	0	0	0	get:2,list:2
adyen	Domain connectors	api_key	6	0	0	1	get:3,list:3
adyntel	Business systems	api_key	6	0	0	0	search:4,get:2
aeroleads	Business systems	api_key	1	0	0	0	get:1
affinda	Cloud/FinOps	api_key	6	0	0	0	list:4,create:1,get:1
affinity	Business systems	api_key	20	0	0	0	list:14,get:6
aftership	Business systems	api_key	9	0	0	0	list:2,create:1,delete:1
agent_mail	Communications	api_key	102	0	0	0	get:27,list:20,delete:16
agentql	Cloud/FinOps	api_key	4	0	0	0	create:1,get:1,list:1
agenty	Cloud/FinOps	api_key	31	0	0	0	get:10,delete:3,download:3
agiled	Business systems	api_key	15	0	0	0	create:3,delete:3,get:3
agility	Business systems	api_key	6	0	0	0	get:5,list:1
agora	Communications	api_key	7	0	0	0	get:2,create:1,list:1
ahrefs	Business systems	api_key	4	0	0	0	get:4
